,name
1340,Wamweracaudia
1341,Wannanosaurus
1342,Weewarrasaurus
1343,Wellnhoferia
1344,Wendiceratops
1345,Wiehenvenator
1346,Willinakaqe
1347,Wintonotitan
1348,Wuerhosaurus
1349,Wulagasaurus
1350,Wulatelong
1351,Wulong bohaiensis
1352,Wyleyia
1353,Xenoceratops
1354,Xenoposeidon
1355,Xenotarsosaurus
1356,Xianshanosaurus
1357,Xiaosaurus
1358,Xiaotingia
1359,Xingtianosaurus
1360,Xingxiulong
1361,Xinjiangovenator
1362,Xinjiangtitan
1363,Xiongguanlong
1364,Xixianykus
1365,Xixiasaurus
1366,Xixiposaurus
1367,Xiyunykus
1368,Xuanhanosaurus
1369,Xuanhuaceratops
1370,Xunmenglong
1371,Xuwulong
1372,Yamaceratops
1373,Yamanasaurus
1374,Yamatosaurus
1375,Yandusaurus
1376,Yangchuanosaurus
1377,Yanornis
1378,Yaverlandia
1379,Yehuecauhceratops
1380,Yi (dinosaur)
1381,Yimenosaurus
1382,Yingshanosaurus
1383,Yinlong
1384,Yixianosaurus
1385,Yizhousaurus
1386,Yongjinglong
1387,Ypupiara
1388,Yuanmousaurus
1389,Yueosaurus
1390,Yulong mini
1391,Yunganglong
1392,Yunmenglong
1393,Yunnanosaurus
1394,Yunyangosaurus
1395,Yurgovuchia
1396,Yutyrannus
1397,Yuxisaurus
1398,Zalmoxes
1399,Zanclodon
1400,Zapalasaurus
1401,Zapsalis
1402,Zaraapelta
1403,Zatomus
1404,Zby
1405,Zephyrosaurus
1406,Zhanghenglong
1407,Zhejiangosaurus
1408,Zhenyuanlong
1409,Zhongjianosaurus
1410,Zhongornis
1411,Zhongyuansaurus
1412,Zhuchengceratops
1413,Zhuchengtitan
1414,Zhuchengtyrannus
1415,Ziapelta
1416,Zigongosaurus
1417,Zizhongosaurus
1418,Zuniceratops
1419,Zuolong
1420,Zuoyunlong
1421,Zupaysaurus
1422,Zuul
